
################################################################################
#          IDS of CJK characters for Yuhao Input Method (Yuniversus)           #
#          URL: https://github.com/forFudan/ids                                #
#          Yuhao Input Method: https://shurufa.app                             #
#          Author: ZHU Yuhao (朱宇浩) <dr.yuhao.zhu@outlook.com>               #
#          Unicode Version: 16.0+                                            #
#          File Date: 2024-09-24                                               #
################################################################################
#
# The progressive Ideographic Sequence Sequence (IDS) of CJK characters in this 
# file is used to generate the divisons for Yuhao Input Method (Yuniversus)], 
# a shape-based Chinese input method, that is able to input all CJK characters, 
# radicals, strokes, Tangut, etc.
#
# There are multiple columns, showing variations of different sources. 
# The sources are listed as follows:
#
# - G (People's Republic of China)
# - T (Taipei Computer Association)
# - H (Hong Kong SAR, PRC)
# - J (Japan)
# - K (Republic of Korea)
# - V (Socialist Republic of Vietnam)
# - U (Unicode Technical Comittee)
# - S (SAṃgaṇikīkṛtaṃ Taiśotripiṭakaṃ, SAT)
# - B (United Kingdom)
# - M (Macau SAR, PRC)
# - P (Democratic People's Republic of Korea)
#
# The characters that are used in the IDS are from:
#
# - CJK and all extensions.
# - Strokes, radicals, and supplements.
# - [Roots of Yuhao IME (Yuniversus)](https://shurufa.app/docs/yuniversus.html).
#
# Due to special rules of Yuniversus that the order of strokes is prioritized, 
# the descriptive characters `⿺`, namely "surround bottom and left side", 
# is replaced by either `⿱` or `⿰`, for specific radicals, e.g, `辶𠃊`. 
# Please be careful in such situations:
#
# - `近 = ⿺辶斤` will be replaced by `⿱斤辶`.
# - `亾 = ⿺𠃊人` will be replaced by `⿱人𠃊`.
#
# You can very welcomed to use, distribute, or modify the IDS in this file. 
# Let us work together to pass the Chinese culture down to the next generations.
#
################################################################################
char,unicode,block,G,T,H,J,K,V,U,S,B,M,P
𲝞,3275E,CJK-J,,,,,,,,,,,
𲝟,3275F,CJK-J,,,,,,,,,,,
𲝠,32760,CJK-J,,,,,,,,,,,
𲝡,32761,CJK-J,,,,,,,,,,,
𲝢,32762,CJK-J,,,,,,,,,,,
𲝣,32763,CJK-J,,,,,,,,,,,
𲝤,32764,CJK-J,,,,,,,,,,,
𲝥,32765,CJK-J,,,,,,,,,,,
𲝦,32766,CJK-J,,,,,,,,,,,
𲝧,32767,CJK-J,,,,,,,,,,,
𲝨,32768,CJK-J,,,,,,,,,,,
𲝩,32769,CJK-J,,,,,,,,,,,
𲝪,3276A,CJK-J,,,,,,,,,,,
𲝫,3276B,CJK-J,,,,,,,,,,,
𲝬,3276C,CJK-J,,,,,,,,,,,
𲝭,3276D,CJK-J,,,,,,,,,,,
𲝮,3276E,CJK-J,,,,,,,,,,,
𲝯,3276F,CJK-J,,,,,,,,,,,
𲝰,32770,CJK-J,,,,,,,,,,,
𲝱,32771,CJK-J,,,,,,,,,,,
𲝲,32772,CJK-J,,,,,,,,,,,
𲝳,32773,CJK-J,,,,,,,,,,,
𲝴,32774,CJK-J,,,,,,,,,,,
𲝵,32775,CJK-J,,,,,,,,,,,
𲝶,32776,CJK-J,,,,,,,,,,,
𲝷,32777,CJK-J,,,,,,,,,,,
𲝸,32778,CJK-J,,,,,,,,,,,
𲝹,32779,CJK-J,,,,,,,,,,,
𲝺,3277A,CJK-J,,,,,,,,,,,
𲝻,3277B,CJK-J,,,,,,,,,,,
𲝼,3277C,CJK-J,,,,,,,,,,,
𲝽,3277D,CJK-J,,,,,,,,,,,
𲝾,3277E,CJK-J,,,,,,,,,,,
𲝿,3277F,CJK-J,,,,,,,,,,,
𲞀,32780,CJK-J,,,,,,,,,,,
𲞁,32781,CJK-J,,,,,,,,,,,
𲞂,32782,CJK-J,,,,,,,,,,,
𲞃,32783,CJK-J,,,,,,,,,,,
𲞄,32784,CJK-J,,,,,,,,,,,
𲞅,32785,CJK-J,,,,,,,,,,,
𲞆,32786,CJK-J,,,,,,,,,,,
𲞇,32787,CJK-J,,,,,,,,,,,
𲞈,32788,CJK-J,,,,,,,,,,,
𲞉,32789,CJK-J,,,,,,,,,,,
𲞊,3278A,CJK-J,,,,,,,,,,,
𲞋,3278B,CJK-J,,,,,,,,,,,
𲞌,3278C,CJK-J,,,,,,,,,,,
𲞍,3278D,CJK-J,,,,,,,,,,,
𲞎,3278E,CJK-J,,,,,,,,,,,
𲞏,3278F,CJK-J,,,,,,,,,,,
𲞐,32790,CJK-J,,,,,,,,,,,
𲞑,32791,CJK-J,,,,,,,,,,,
𲞒,32792,CJK-J,,,,,,,,,,,
𲞓,32793,CJK-J,,,,,,,,,,,
𲞔,32794,CJK-J,,,,,,,,,,,
𲞕,32795,CJK-J,,,,,,,,,,,
𲞖,32796,CJK-J,,,,,,,,,,,
𲞗,32797,CJK-J,,,,,,,,,,,
𲞘,32798,CJK-J,,,,,,,,,,,
𲞙,32799,CJK-J,,,,,,,,,,,
𲞚,3279A,CJK-J,,,,,,,,,,,
𲞛,3279B,CJK-J,,,,,,,,,,,
𲞜,3279C,CJK-J,,,,,,,,,,,
𲞝,3279D,CJK-J,,,,,,,,,,,
𲞞,3279E,CJK-J,,,,,,,,,,,
𲞟,3279F,CJK-J,,,,,,,,,,,
𲞠,327A0,CJK-J,,,,,,,,,,,
𲞡,327A1,CJK-J,,,,,,,,,,,
𲞢,327A2,CJK-J,,,,,,,,,,,
𲞣,327A3,CJK-J,,,,,,,,,,,
𲞤,327A4,CJK-J,,,,,,,,,,,
𲞥,327A5,CJK-J,,,,,,,,,,,
𲞦,327A6,CJK-J,,,,,,,,,,,
𲞧,327A7,CJK-J,,,,,,,,,,,
𲞨,327A8,CJK-J,,,,,,,,,,,
𲞩,327A9,CJK-J,,,,,,,,,,,
𲞪,327AA,CJK-J,,,,,,,,,,,
𲞫,327AB,CJK-J,,,,,,,,,,,
𲞬,327AC,CJK-J,,,,,,,,,,,
𲞭,327AD,CJK-J,,,,,,,,,,,
𲞮,327AE,CJK-J,,,,,,,,,,,
𲞯,327AF,CJK-J,,,,,,,,,,,
𲞰,327B0,CJK-J,,,,,,,,,,,
𲞱,327B1,CJK-J,,,,,,,,,,,
𲞲,327B2,CJK-J,,,,,,,,,,,
𲞳,327B3,CJK-J,,,,,,,,,,,
𲞴,327B4,CJK-J,,,,,,,,,,,
𲞵,327B5,CJK-J,,,,,,,,,,,
𲞶,327B6,CJK-J,,,,,,,,,,,
𲞷,327B7,CJK-J,,,,,,,,,,,
𲞸,327B8,CJK-J,,,,,,,,,,,
𲞹,327B9,CJK-J,,,,,,,,,,,
𲞺,327BA,CJK-J,,,,,,,,,,,
𲞻,327BB,CJK-J,,,,,,,,,,,
𲞼,327BC,CJK-J,,,,,,,,,,,
𲞽,327BD,CJK-J,,,,,,,,,,,
𲞾,327BE,CJK-J,,,,,,,,,,,
𲞿,327BF,CJK-J,,,,,,,,,,,
𲟀,327C0,CJK-J,,,,,,,,,,,
𲟁,327C1,CJK-J,,,,,,,,,,,
𲟂,327C2,CJK-J,,,,,,,,,,,
𲟃,327C3,CJK-J,,,,,,,,,,,
𲟄,327C4,CJK-J,,,,,,,,,,,
𲟅,327C5,CJK-J,,,,,,,,,,,
𲟆,327C6,CJK-J,,,,,,,,,,,
𲟇,327C7,CJK-J,,,,,,,,,,,
𲟈,327C8,CJK-J,,,,,,,,,,,
𲟉,327C9,CJK-J,,,,,,,,,,,
𲟊,327CA,CJK-J,,,,,,,,,,,
𲟋,327CB,CJK-J,,,,,,,,,,,
𲟌,327CC,CJK-J,,,,,,,,,,,
𲟍,327CD,CJK-J,,,,,,,,,,,
𲟎,327CE,CJK-J,,,,,,,,,,,
𲟏,327CF,CJK-J,,,,,,,,,,,
𲟐,327D0,CJK-J,,,,,,,,,,,
𲟑,327D1,CJK-J,,,,,,,,,,,
𲟒,327D2,CJK-J,,,,,,,,,,,
𲟓,327D3,CJK-J,,,,,,,,,,,
𲟔,327D4,CJK-J,,,,,,,,,,,
𲟕,327D5,CJK-J,,,,,,,,,,,
𲟖,327D6,CJK-J,,,,,,,,,,,
𲟗,327D7,CJK-J,,,,,,,,,,,
𲟘,327D8,CJK-J,,,,,,,,,,,
𲟙,327D9,CJK-J,,,,,,,,,,,
𲟚,327DA,CJK-J,,,,,,,,,,,
𲟛,327DB,CJK-J,,,,,,,,,,,
𲟜,327DC,CJK-J,,,,,,,,,,,
𲟝,327DD,CJK-J,,,,,,,,,,,
𲟞,327DE,CJK-J,,,,,,,,,,,
𲟟,327DF,CJK-J,,,,,,,,,,,
𲟠,327E0,CJK-J,,,,,,,,,,,
𲟡,327E1,CJK-J,,,,,,,,,,,
𲟢,327E2,CJK-J,,,,,,,,,,,
𲟣,327E3,CJK-J,,,,,,,,,,,
𲟤,327E4,CJK-J,,,,,,,,,,,
𲟥,327E5,CJK-J,,,,,,,,,,,
𲟦,327E6,CJK-J,,,,,,,,,,,
𲟧,327E7,CJK-J,,,,,,,,,,,
𲟨,327E8,CJK-J,,,,,,,,,,,
𲟩,327E9,CJK-J,,,,,,,,,,,
𲟪,327EA,CJK-J,,,,,,,,,,,
𲟫,327EB,CJK-J,,,,,,,,,,,
𲟬,327EC,CJK-J,,,,,,,,,,,
𲟭,327ED,CJK-J,,,,,,,,,,,
𲟮,327EE,CJK-J,,,,,,,,,,,
𲟯,327EF,CJK-J,,,,,,,,,,,
𲟰,327F0,CJK-J,,,,,,,,,,,
𲟱,327F1,CJK-J,,,,,,,,,,,
𲟲,327F2,CJK-J,,,,,,,,,,,
𲟳,327F3,CJK-J,,,,,,,,,,,
𲟴,327F4,CJK-J,,,,,,,,,,,
𲟵,327F5,CJK-J,,,,,,,,,,,
𲟶,327F6,CJK-J,,,,,,,,,,,
𲟷,327F7,CJK-J,,,,,,,,,,,
𲟸,327F8,CJK-J,,,,,,,,,,,
𲟹,327F9,CJK-J,,,,,,,,,,,
𲟺,327FA,CJK-J,,,,,,,,,,,
𲟻,327FB,CJK-J,,,,,,,,,,,
𲟼,327FC,CJK-J,,,,,,,,,,,
𲟽,327FD,CJK-J,,,,,,,,,,,
𲟾,327FE,CJK-J,,,,,,,,,,,
𲟿,327FF,CJK-J,,,,,,,,,,,
𲠀,32800,CJK-J,,,,,,,,,,,
𲠁,32801,CJK-J,,,,,,,,,,,
𲠂,32802,CJK-J,,,,,,,,,,,
𲠃,32803,CJK-J,,,,,,,,,,,
𲠄,32804,CJK-J,,,,,,,,,,,
𲠅,32805,CJK-J,,,,,,,,,,,
𲠆,32806,CJK-J,,,,,,,,,,,
𲠇,32807,CJK-J,,,,,,,,,,,
𲠈,32808,CJK-J,,,,,,,,,,,
𲠉,32809,CJK-J,,,,,,,,,,,
𲠊,3280A,CJK-J,,,,,,,,,,,
𲠋,3280B,CJK-J,,,,,,,,,,,
𲠌,3280C,CJK-J,,,,,,,,,,,
𲠍,3280D,CJK-J,,,,,,,,,,,
𲠎,3280E,CJK-J,,,,,,,,,,,
𲠏,3280F,CJK-J,,,,,,,,,,,
𲠐,32810,CJK-J,,,,,,,,,,,
𲠑,32811,CJK-J,,,,,,,,,,,
𲠒,32812,CJK-J,,,,,,,,,,,
𲠓,32813,CJK-J,,,,,,,,,,,
𲠔,32814,CJK-J,,,,,,,,,,,
𲠕,32815,CJK-J,,,,,,,,,,,
𲠖,32816,CJK-J,,,,,,,,,,,
𲠗,32817,CJK-J,,,,,,,,,,,
𲠘,32818,CJK-J,,,,,,,,,,,
𲠙,32819,CJK-J,,,,,,,,,,,
𲠚,3281A,CJK-J,,,,,,,,,,,
𲠛,3281B,CJK-J,,,,,,,,,,,
𲠜,3281C,CJK-J,,,,,,,,,,,
𲠝,3281D,CJK-J,,,,,,,,,,,
𲠞,3281E,CJK-J,,,,,,,,,,,
𲠟,3281F,CJK-J,,,,,,,,,,,
𲠠,32820,CJK-J,,,,,,,,,,,
𲠡,32821,CJK-J,,,,,,,,,,,
𲠢,32822,CJK-J,,,,,,,,,,,
𲠣,32823,CJK-J,,,,,,,,,,,
𲠤,32824,CJK-J,,,,,,,,,,,
𲠥,32825,CJK-J,,,,,,,,,,,
𲠦,32826,CJK-J,,,,,,,,,,,
𲠧,32827,CJK-J,,,,,,,,,,,
𲠨,32828,CJK-J,,,,,,,,,,,
𲠩,32829,CJK-J,,,,,,,,,,,
𲠪,3282A,CJK-J,,,,,,,,,,,
𲠫,3282B,CJK-J,,,,,,,,,,,
𲠬,3282C,CJK-J,,,,,,,,,,,
𲠭,3282D,CJK-J,,,,,,,,,,,
𲠮,3282E,CJK-J,,,,,,,,,,,
𲠯,3282F,CJK-J,,,,,,,,,,,
𲠰,32830,CJK-J,,,,,,,,,,,
𲠱,32831,CJK-J,,,,,,,,,,,
𲠲,32832,CJK-J,,,,,,,,,,,
𲠳,32833,CJK-J,,,,,,,,,,,
𲠴,32834,CJK-J,,,,,,,,,,,
𲠵,32835,CJK-J,,,,,,,,,,,
𲠶,32836,CJK-J,,,,,,,,,,,
𲠷,32837,CJK-J,,,,,,,,,,,
𲠸,32838,CJK-J,,,,,,,,,,,
𲠹,32839,CJK-J,,,,,,,,,,,
𲠺,3283A,CJK-J,,,,,,,,,,,
𲠻,3283B,CJK-J,,,,,,,,,,,
𲠼,3283C,CJK-J,,,,,,,,,,,
𲠽,3283D,CJK-J,,,,,,,,,,,
𲠾,3283E,CJK-J,,,,,,,,,,,
𲠿,3283F,CJK-J,,,,,,,,,,,
𲡀,32840,CJK-J,,,,,,,,,,,
𲡁,32841,CJK-J,,,,,,,,,,,
𲡂,32842,CJK-J,,,,,,,,,,,
𲡃,32843,CJK-J,,,,,,,,,,,
𲡄,32844,CJK-J,,,,,,,,,,,
𲡅,32845,CJK-J,,,,,,,,,,,
𲡆,32846,CJK-J,,,,,,,,,,,
𲡇,32847,CJK-J,,,,,,,,,,,
𲡈,32848,CJK-J,,,,,,,,,,,
𲡉,32849,CJK-J,,,,,,,,,,,
𲡊,3284A,CJK-J,,,,,,,,,,,
𲡋,3284B,CJK-J,,,,,,,,,,,
𲡌,3284C,CJK-J,,,,,,,,,,,
𲡍,3284D,CJK-J,,,,,,,,,,,
𲡎,3284E,CJK-J,,,,,,,,,,,
𲡏,3284F,CJK-J,,,,,,,,,,,
𲡐,32850,CJK-J,,,,,,,,,,,
𲡑,32851,CJK-J,,,,,,,,,,,
𲡒,32852,CJK-J,,,,,,,,,,,
𲡓,32853,CJK-J,,,,,,,,,,,
𲡔,32854,CJK-J,,,,,,,,,,,
𲡕,32855,CJK-J,,,,,,,,,,,
𲡖,32856,CJK-J,,,,,,,,,,,
𲡗,32857,CJK-J,,,,,,,,,,,
𲡘,32858,CJK-J,,,,,,,,,,,
𲡙,32859,CJK-J,,,,,,,,,,,
𲡚,3285A,CJK-J,,,,,,,,,,,
𲡛,3285B,CJK-J,,,,,,,,,,,
𲡜,3285C,CJK-J,,,,,,,,,,,
𲡝,3285D,CJK-J,,,,,,,,,,,
𲡞,3285E,CJK-J,,,,,,,,,,,
𲡟,3285F,CJK-J,,,,,,,,,,,
𲡠,32860,CJK-J,,,,,,,,,,,
𲡡,32861,CJK-J,,,,,,,,,,,
𲡢,32862,CJK-J,,,,,,,,,,,
𲡣,32863,CJK-J,,,,,,,,,,,
𲡤,32864,CJK-J,,,,,,,,,,,
𲡥,32865,CJK-J,,,,,,,,,,,
𲡦,32866,CJK-J,,,,,,,,,,,
𲡧,32867,CJK-J,,,,,,,,,,,
𲡨,32868,CJK-J,,,,,,,,,,,
𲡩,32869,CJK-J,,,,,,,,,,,
𲡪,3286A,CJK-J,,,,,,,,,,,
𲡫,3286B,CJK-J,,,,,,,,,,,
𲡬,3286C,CJK-J,,,,,,,,,,,
𲡭,3286D,CJK-J,,,,,,,,,,,
𲡮,3286E,CJK-J,,,,,,,,,,,
𲡯,3286F,CJK-J,,,,,,,,,,,
𲡰,32870,CJK-J,,,,,,,,,,,
𲡱,32871,CJK-J,,,,,,,,,,,
𲡲,32872,CJK-J,,,,,,,,,,,
𲡳,32873,CJK-J,,,,,,,,,,,
𲡴,32874,CJK-J,,,,,,,,,,,
𲡵,32875,CJK-J,,,,,,,,,,,
𲡶,32876,CJK-J,,,,,,,,,,,
𲡷,32877,CJK-J,,,,,,,,,,,
𲡸,32878,CJK-J,,,,,,,,,,,
𲡹,32879,CJK-J,,,,,,,,,,,
𲡺,3287A,CJK-J,,,,,,,,,,,
𲡻,3287B,CJK-J,,,,,,,,,,,
𲡼,3287C,CJK-J,,,,,,,,,,,
𲡽,3287D,CJK-J,,,,,,,,,,,
𲡾,3287E,CJK-J,,,,,,,,,,,
𲡿,3287F,CJK-J,,,,,,,,,,,
𲢀,32880,CJK-J,,,,,,,,,,,
𲢁,32881,CJK-J,,,,,,,,,,,
𲢂,32882,CJK-J,,,,,,,,,,,
𲢃,32883,CJK-J,,,,,,,,,,,
𲢄,32884,CJK-J,,,,,,,,,,,
𲢅,32885,CJK-J,,,,,,,,,,,
𲢆,32886,CJK-J,,,,,,,,,,,
𲢇,32887,CJK-J,,,,,,,,,,,
𲢈,32888,CJK-J,,,,,,,,,,,
𲢉,32889,CJK-J,,,,,,,,,,,
𲢊,3288A,CJK-J,,,,,,,,,,,
𲢋,3288B,CJK-J,,,,,,,,,,,
𲢌,3288C,CJK-J,,,,,,,,,,,
𲢍,3288D,CJK-J,,,,,,,,,,,
𲢎,3288E,CJK-J,,,,,,,,,,,
𲢏,3288F,CJK-J,,,,,,,,,,,
𲢐,32890,CJK-J,,,,,,,,,,,
𲢑,32891,CJK-J,,,,,,,,,,,
𲢒,32892,CJK-J,,,,,,,,,,,
𲢓,32893,CJK-J,,,,,,,,,,,
𲢔,32894,CJK-J,,,,,,,,,,,
𲢕,32895,CJK-J,,,,,,,,,,,
𲢖,32896,CJK-J,,,,,,,,,,,
𲢗,32897,CJK-J,,,,,,,,,,,
𲢘,32898,CJK-J,,,,,,,,,,,
𲢙,32899,CJK-J,,,,,,,,,,,
𲢚,3289A,CJK-J,,,,,,,,,,,
𲢛,3289B,CJK-J,,,,,,,,,,,
𲢜,3289C,CJK-J,,,,,,,,,,,
𲢝,3289D,CJK-J,,,,,,,,,,,
𲢞,3289E,CJK-J,,,,,,,,,,,
𲢟,3289F,CJK-J,,,,,,,,,,,
𲢠,328A0,CJK-J,,,,,,,,,,,
𲢡,328A1,CJK-J,,,,,,,,,,,
𲢢,328A2,CJK-J,,,,,,,,,,,
𲢣,328A3,CJK-J,,,,,,,,,,,
𲢤,328A4,CJK-J,,,,,,,,,,,
𲢥,328A5,CJK-J,,,,,,,,,,,
𲢦,328A6,CJK-J,,,,,,,,,,,
𲢧,328A7,CJK-J,,,,,,,,,,,
𲢨,328A8,CJK-J,,,,,,,,,,,
𲢩,328A9,CJK-J,,,,,,,,,,,
𲢪,328AA,CJK-J,,,,,,,,,,,
𲢫,328AB,CJK-J,,,,,,,,,,,
𲢬,328AC,CJK-J,,,,,,,,,,,
𲢭,328AD,CJK-J,,,,,,,,,,,
𲢮,328AE,CJK-J,,,,,,,,,,,
𲢯,328AF,CJK-J,,,,,,,,,,,
𲢰,328B0,CJK-J,,,,,,,,,,,
𲢱,328B1,CJK-J,,,,,,,,,,,
𲢲,328B2,CJK-J,,,,,,,,,,,
𲢳,328B3,CJK-J,,,,,,,,,,,
𲢴,328B4,CJK-J,,,,,,,,,,,
𲢵,328B5,CJK-J,,,,,,,,,,,
𲢶,328B6,CJK-J,,,,,,,,,,,
𲢷,328B7,CJK-J,,,,,,,,,,,
𲢸,328B8,CJK-J,,,,,,,,,,,
𲢹,328B9,CJK-J,,,,,,,,,,,
𲢺,328BA,CJK-J,,,,,,,,,,,
𲢻,328BB,CJK-J,,,,,,,,,,,
𲢼,328BC,CJK-J,,,,,,,,,,,
𲢽,328BD,CJK-J,,,,,,,,,,,
𲢾,328BE,CJK-J,,,,,,,,,,,
𲢿,328BF,CJK-J,,,,,,,,,,,
𲣀,328C0,CJK-J,,,,,,,,,,,
𲣁,328C1,CJK-J,,,,,,,,,,,
𲣂,328C2,CJK-J,,,,,,,,,,,
𲣃,328C3,CJK-J,,,,,,,,,,,
𲣄,328C4,CJK-J,,,,,,,,,,,
𲣅,328C5,CJK-J,,,,,,,,,,,
𲣆,328C6,CJK-J,,,,,,,,,,,
𲣇,328C7,CJK-J,,,,,,,,,,,
𲣈,328C8,CJK-J,,,,,,,,,,,
𲣉,328C9,CJK-J,,,,,,,,,,,
𲣊,328CA,CJK-J,,,,,,,,,,,
𲣋,328CB,CJK-J,,,,,,,,,,,
𲣌,328CC,CJK-J,,,,,,,,,,,
𲣍,328CD,CJK-J,,,,,,,,,,,
𲣎,328CE,CJK-J,,,,,,,,,,,
𲣏,328CF,CJK-J,,,,,,,,,,,
𲣐,328D0,CJK-J,,,,,,,,,,,
𲣑,328D1,CJK-J,,,,,,,,,,,
𲣒,328D2,CJK-J,,,,,,,,,,,
𲣓,328D3,CJK-J,,,,,,,,,,,
𲣔,328D4,CJK-J,,,,,,,,,,,
𲣕,328D5,CJK-J,,,,,,,,,,,
𲣖,328D6,CJK-J,,,,,,,,,,,
𲣗,328D7,CJK-J,,,,,,,,,,,
𲣘,328D8,CJK-J,,,,,,,,,,,
𲣙,328D9,CJK-J,,,,,,,,,,,
𲣚,328DA,CJK-J,,,,,,,,,,,
𲣛,328DB,CJK-J,,,,,,,,,,,
𲣜,328DC,CJK-J,,,,,,,,,,,
𲣝,328DD,CJK-J,,,,,,,,,,,
𲣞,328DE,CJK-J,,,,,,,,,,,
𲣟,328DF,CJK-J,,,,,,,,,,,
𲣠,328E0,CJK-J,,,,,,,,,,,
𲣡,328E1,CJK-J,,,,,,,,,,,
𲣢,328E2,CJK-J,,,,,,,,,,,
𲣣,328E3,CJK-J,,,,,,,,,,,
𲣤,328E4,CJK-J,,,,,,,,,,,
𲣥,328E5,CJK-J,,,,,,,,,,,
𲣦,328E6,CJK-J,,,,,,,,,,,
𲣧,328E7,CJK-J,,,,,,,,,,,
𲣨,328E8,CJK-J,,,,,,,,,,,
𲣩,328E9,CJK-J,,,,,,,,,,,
𲣪,328EA,CJK-J,,,,,,,,,,,
𲣫,328EB,CJK-J,,,,,,,,,,,
𲣬,328EC,CJK-J,,,,,,,,,,,
𲣭,328ED,CJK-J,,,,,,,,,,,
𲣮,328EE,CJK-J,,,,,,,,,,,
𲣯,328EF,CJK-J,,,,,,,,,,,
𲣰,328F0,CJK-J,,,,,,,,,,,
𲣱,328F1,CJK-J,,,,,,,,,,,
𲣲,328F2,CJK-J,,,,,,,,,,,
𲣳,328F3,CJK-J,,,,,,,,,,,
𲣴,328F4,CJK-J,,,,,,,,,,,
𲣵,328F5,CJK-J,,,,,,,,,,,
𲣶,328F6,CJK-J,,,,,,,,,,,
𲣷,328F7,CJK-J,,,,,,,,,,,
𲣸,328F8,CJK-J,,,,,,,,,,,
𲣹,328F9,CJK-J,,,,,,,,,,,
𲣺,328FA,CJK-J,,,,,,,,,,,
𲣻,328FB,CJK-J,,,,,,,,,,,
𲣼,328FC,CJK-J,,,,,,,,,,,
𲣽,328FD,CJK-J,,,,,,,,,,,
𲣾,328FE,CJK-J,,,,,,,,,,,
𲣿,328FF,CJK-J,,,,,,,,,,,
𲤀,32900,CJK-J,,,,,,,,,,,
𲤁,32901,CJK-J,,,,,,,,,,,
𲤂,32902,CJK-J,,,,,,,,,,,
𲤃,32903,CJK-J,,,,,,,,,,,
𲤄,32904,CJK-J,,,,,,,,,,,
𲤅,32905,CJK-J,,,,,,,,,,,
𲤆,32906,CJK-J,,,,,,,,,,,
𲤇,32907,CJK-J,,,,,,,,,,,
𲤈,32908,CJK-J,,,,,,,,,,,
𲤉,32909,CJK-J,,,,,,,,,,,
𲤊,3290A,CJK-J,,,,,,,,,,,
𲤋,3290B,CJK-J,,,,,,,,,,,
𲤌,3290C,CJK-J,,,,,,,,,,,
𲤍,3290D,CJK-J,,,,,,,,,,,
𲤎,3290E,CJK-J,,,,,,,,,,,
𲤏,3290F,CJK-J,,,,,,,,,,,
𲤐,32910,CJK-J,,,,,,,,,,,
𲤑,32911,CJK-J,,,,,,,,,,,
𲤒,32912,CJK-J,,,,,,,,,,,
𲤓,32913,CJK-J,,,,,,,,,,,
𲤔,32914,CJK-J,,,,,,,,,,,
𲤕,32915,CJK-J,,,,,,,,,,,
𲤖,32916,CJK-J,,,,,,,,,,,
𲤗,32917,CJK-J,,,,,,,,,,,
𲤘,32918,CJK-J,,,,,,,,,,,
𲤙,32919,CJK-J,,,,,,,,,,,
𲤚,3291A,CJK-J,,,,,,,,,,,
𲤛,3291B,CJK-J,,,,,,,,,,,
𲤜,3291C,CJK-J,,,,,,,,,,,
𲤝,3291D,CJK-J,,,,,,,,,,,
𲤞,3291E,CJK-J,,,,,,,,,,,
𲤟,3291F,CJK-J,,,,,,,,,,,
𲤠,32920,CJK-J,,,,,,,,,,,
𲤡,32921,CJK-J,,,,,,,,,,,
𲤢,32922,CJK-J,,,,,,,,,,,
𲤣,32923,CJK-J,,,,,,,,,,,
𲤤,32924,CJK-J,,,,,,,,,,,
𲤥,32925,CJK-J,,,,,,,,,,,
𲤦,32926,CJK-J,,,,,,,,,,,
𲤧,32927,CJK-J,,,,,,,,,,,
𲤨,32928,CJK-J,,,,,,,,,,,
𲤩,32929,CJK-J,,,,,,,,,,,
𲤪,3292A,CJK-J,,,,,,,,,,,
𲤫,3292B,CJK-J,,,,,,,,,,,
𲤬,3292C,CJK-J,,,,,,,,,,,
𲤭,3292D,CJK-J,,,,,,,,,,,
𲤮,3292E,CJK-J,,,,,,,,,,,
𲤯,3292F,CJK-J,,,,,,,,,,,
𲤰,32930,CJK-J,,,,,,,,,,,
𲤱,32931,CJK-J,,,,,,,,,,,
𲤲,32932,CJK-J,,,,,,,,,,,
𲤳,32933,CJK-J,,,,,,,,,,,
𲤴,32934,CJK-J,,,,,,,,,,,
𲤵,32935,CJK-J,,,,,,,,,,,
𲤶,32936,CJK-J,,,,,,,,,,,
𲤷,32937,CJK-J,,,,,,,,,,,
𲤸,32938,CJK-J,,,,,,,,,,,
𲤹,32939,CJK-J,,,,,,,,,,,
𲤺,3293A,CJK-J,,,,,,,,,,,
𲤻,3293B,CJK-J,,,,,,,,,,,
𲤼,3293C,CJK-J,,,,,,,,,,,
𲤽,3293D,CJK-J,,,,,,,,,,,
𲤾,3293E,CJK-J,,,,,,,,,,,
𲤿,3293F,CJK-J,,,,,,,,,,,
𲥀,32940,CJK-J,,,,,,,,,,,
𲥁,32941,CJK-J,,,,,,,,,,,
𲥂,32942,CJK-J,,,,,,,,,,,
𲥃,32943,CJK-J,,,,,,,,,,,
𲥄,32944,CJK-J,,,,,,,,,,,
𲥅,32945,CJK-J,,,,,,,,,,,
𲥆,32946,CJK-J,,,,,,,,,,,
𲥇,32947,CJK-J,,,,,,,,,,,
𲥈,32948,CJK-J,,,,,,,,,,,
𲥉,32949,CJK-J,,,,,,,,,,,
𲥊,3294A,CJK-J,,,,,,,,,,,
𲥋,3294B,CJK-J,,,,,,,,,,,
𲥌,3294C,CJK-J,,,,,,,,,,,
𲥍,3294D,CJK-J,,,,,,,,,,,
𲥎,3294E,CJK-J,,,,,,,,,,,
𲥏,3294F,CJK-J,,,,,,,,,,,
𲥐,32950,CJK-J,,,,,,,,,,,
𲥑,32951,CJK-J,,,,,,,,,,,
𲥒,32952,CJK-J,,,,,,,,,,,
𲥓,32953,CJK-J,,,,,,,,,,,
𲥔,32954,CJK-J,,,,,,,,,,,
𲥕,32955,CJK-J,,,,,,,,,,,
𲥖,32956,CJK-J,,,,,,,,,,,
𲥗,32957,CJK-J,,,,,,,,,,,
𲥘,32958,CJK-J,,,,,,,,,,,
𲥙,32959,CJK-J,,,,,,,,,,,
𲥚,3295A,CJK-J,,,,,,,,,,,
𲥛,3295B,CJK-J,,,,,,,,,,,
𲥜,3295C,CJK-J,,,,,,,,,,,
𲥝,3295D,CJK-J,,,,,,,,,,,
